"merchant_alias","location_formatted_address","location_latitude","merchant_id","source_id","source_data","source_details_data","source_type","merchant_name","business_id","location_name","location_id","location_route_number","location_route_name_short","location_route_name_long","location_suburb_short","location_suburb_long","location_state_short","location_state_long","location_country_code","location_country_name","location_postal_code","location_formatted_address-2","location_latitude-2","location_longitude","contact_website","contact_operating_hours","contact_phone_number_local","contact_phone_number_international","anzsic_class_code","date_created","date_source_updated","date_transformed","date_indexed","date_classified","soundex_code","logo_master","logo_thumb","merchant_alias-2"
"ROSE FRESH MEATS AND PRODUCE","4 Satellite Drive, Werribee, Victoria, 3030",NULL,"92dde29e-e877-472a-b5cf-7aaad79547dc","92dde29e-e877-472a-b5cf-7aaad79547dc","{}",NULL,"CUSTOM","ROSE FRESH MEATS AND PRODUCE",NULL,NULL,NULL,"4","Satelite Drv","Satelite Drive","Werribee","Werribee","Vic","Victoria","AU","Australia","3030","4 Satellite Drive, Werribee, Victoria, 3030",NULL,NULL,NULL,NULL,NULL,NULL,"4129","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"ROSE FRESH MEATS AND PRODUCE"
"VAYA","PO Box 6136, Buranda, QLD, 4102",NULL,"bae3fc48-6c32-42ef-a976-a8e343a5edc4","bae3fc48-6c32-42ef-a976-a8e343a5edc4","{}",NULL,"CUSTOM","Vaya",NULL,NULL,NULL,NULL,NULL,NULL,"Buranda","Buranda","QLD","Queensland","AU","Australia","4102","PO Box 6136, Buranda, QLD, 4102",NULL,NULL,"http://www.vaya.net.au/",NULL,"03 0000 8292","+61 03 0000 8292","5809","2021-08-06 11:39:27.279146","2021-08-06 11:39:27.279146","2021-08-06 11:39:27.279146",NULL,"2021-08-06 11:39:27.279146",NULL,NULL,NULL,"VAYA"
"COCOS CLUB INC","West Island WA 6799, Australia",NULL,"0b2f976a-4c88-11e8-bae7-0a87c0279fe8","12150186","{""id"": ""12150186"", ""name"": ""Cocos Club (Inc)"", ""score"": 2153.6414, ""aboutId"": ""f77e3d70-7a1e-4ed3-9993-6a8573ec57e9"", ""categories"": [{""id"": ""10642"", ""name"": ""Social & General Clubs"", ""sensitive"": false}], ""detailsLink"": ""https://www.yellowpages.com.au/wa/west-island/cocos-club-inc-12150186-listing.html?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""Business"", ""reportingId"": ""12150186"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""West Island"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": """"}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6688""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Club (Inc)",NULL,NULL,NULL,NULL,NULL,NULL,"West Island","West Island","WA","Western Australia","AU","Australia","6799","West Island WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6688","+61 8 9162 6688","9112","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:02.365701",NULL,"2019-10-18 11:01:42.036342","C224",NULL,NULL,"COCOS CLUB INC"
"COCOS ISLANDS CO OPERATIVE SOCIETY","3 Sydney Highway, West Island WA 6799, Australia",NULL,"dbc1c19c-4c87-11e8-ab46-0a87c0279fe8","W12026323","{""id"": ""W12026323"", ""name"": ""Cocos Islands Co-Operative Society"", ""score"": 3639.5496, ""aboutId"": """", ""categories"": [], ""detailsLink"": ""http://www.whitepages.com.au/cocos-islands-co-operative-society-12026324/west-island-wa-12026323B?referredBy=SAPI-ebNWZNImvAxNWEzxbFEx9VyfChFq-udq"", ""listingType"": ""B"", ""reportingId"": ""W12026323"", ""businessInfo"": {""abn"": """", ""legalId"": """", ""dateEstablished"": """"}, ""openingHours"": {""friday"": {""times"": null, ""status"": """"}, ""monday"": {""times"": null, ""status"": """"}, ""sunday"": {""times"": null, ""status"": """"}, ""tuesday"": {""times"": null, ""status"": """"}, ""saturday"": {""times"": null, ""status"": """"}, ""thursday"": {""times"": null, ""status"": """"}, ""wednesday"": {""times"": null, ""status"": """"}, ""publicHolidays"": {""times"": null, ""status"": """"}}, ""primaryAddress"": {""state"": ""WA"", ""suburb"": ""West Island"", ""latitude"": """", ""postcode"": ""6799"", ""longitude"": """", ""addressLine"": ""3 Sydney Highway""}, ""primaryContacts"": [{""type"": ""PHONE"", ""value"": ""(08) 9162 6552""}], ""secondaryContacts"": {""Other Contacts"": null}, ""orderedSecondaryContacts"": null}",NULL,"SENSIS","Cocos Islands Co-Operative Society",NULL,NULL,NULL,"3","Sydney Highway",NULL,"West Island","West Island","WA","Western Australia","AU","Australia","6799","3 Sydney Highway, West Island WA 6799, Australia",NULL,NULL,NULL,"{""friday"": [], ""monday"": [], ""sunday"": [], ""tuesday"": [], ""saturday"": [], ""thursday"": [], ""wednesday"": []}","08 9162 6552","+61 8 9162 6552","4400","2018-07-26 09:13:12.547376","2018-07-26 09:13:12.547376","2018-11-19 13:20:16.269144",NULL,"2019-10-18 11:01:42.036342","C222",NULL,NULL,"COCOS ISLANDS CO OPERATIVE SOCIETY"
"VICSFRESH IGA","561 President Ave, Sutherland NSW 2232",NULL,"e4fb22f8-a180-44aa-adac-a42f5f91c1a3","e4fb22f8-a180-44aa-adac-a42f5f91c1a3","{}",NULL,"CUSTOM","VicsFresh IGA",NULL,NULL,NULL,"561","President Ave","President Avenue","Sutherland","Sutherland","NSW","New South Wales","AU","Australia","2232","561 President Ave, Sutherland NSW 2232",NULL,NULL,"http://our-stores.iga.com.au/stores/romeos-iga-food-hall-sutherland/",NULL,NULL,NULL,"4110","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"VICSFRESH IGA"
"AUSTRALIAN WAY","Brisbane International Airport, Eagle Farm QLD 4009",NULL,"b0b79691-bf49-4905-a17f-2679b217ede2","b0b79691-bf49-4905-a17f-2679b217ede2","{}",NULL,"CUSTOM","Australian Way",NULL,"Brisbane International Airport",NULL,NULL,"Brisbane International Airport","Brisbane International Airport","Eagle Farm","Eagle Farm","QLD","Queensland","AU","Australia","4009","Brisbane International Airport, Eagle Farm QLD 4009",NULL,NULL,"https://www.bne.com.au/passenger/shop-dine-explore/shop/australian-way",NULL,NULL,NULL,"4279","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"AUSTRALIAN WAY"
"CROWNE PLZA SYDNEY","60 Burwood Rd, Burwood NSW 2134, Australia",NULL,"e8e25dee-a936-42f8-bf5e-3f21a5512464","e8e25dee-a936-42f8-bf5e-3f21a5512464","{}",NULL,"CUSTOM","Crowne Plaza Sydney Burwood, an IHG Hotel",NULL,NULL,NULL,"60","Burwood Rd","Burwood Road","Burwood","Burwood","NSW","New South Wales","AU","Australia","2134","60 Burwood Rd, Burwood NSW 2134, Australia",NULL,NULL,"https://www.ihg.com/crowneplaza/hotels/us/en/burwood/sydrb/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-AU-_-SYDRB","{""periods"": [{""open"": {""day"": 0, ""time"": ""0000""}}], ""open_now"": true, ""weekday_text"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","(02) 8880 4599","+61 2 8880 4599","4400","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416","2021-12-14 15:01:28.771416",NULL,"2021-12-14 15:01:28.771416",NULL,NULL,NULL,"CROWNE PLZA SYDNEY"
"WOOLWORTHS","300-304 Albert St, Brunswick VIC 3056",NULL,"6ab0ab70-0000-43c4-b403-0bb9b5e51137","6ab0ab70-0000-43c4-b403-0bb9b5e51137","{}",NULL,"CUSTOM","Woolworths",NULL,NULL,NULL,"300-304","Albert St","Albert Street","Brunswick","Brunswick","VIC","Victoria","AU","Australia","3056","300-304 Albert St, Brunswick VIC 3056",NULL,NULL,"https://www.woolworths.com.au/",NULL,NULL,NULL,"4110","2021-08-25 13:42:25.135218","2021-08-25 13:42:25.135218","2021-08-25 13:42:25.135218",NULL,"2021-08-25 13:42:25.135218",NULL,"woolworths-master.svg","woolworths-thumb.svg","WOOLWORTHS"
"TRAVCOE NOMINEES","471 CHURCHILL AVENUE, SANDY BAY\u200b, TASMANIA, 7005",NULL,"8b1c39d1-90e8-4c57-aad1-9ad201406dce","8b1c39d1-90e8-4c57-aad1-9ad201406dce","{}",NULL,"CUSTOM","Travcoe Nominees",NULL,NULL,NULL,"471","CHURCHILL AVE","CHURCHILL AVENUE","Sandy Bay","Sandy Bay","TAS","Tasmania","AU","Australia","7005","471 CHURCHILL AVENUE, SANDY BAY\u200b, TASMANIA, 7005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-08-05 15:29:22.297644","2021-08-05 15:29:22.297644","2021-08-05 15:29:22.297644",NULL,"2021-08-05 15:29:22.297644",NULL,NULL,NULL,"TRAVCOE NOMINEES"
"7 HEAVEN CAFE","4/41 Eton St, Sutherland NSW 2232, Australia",NULL,"dd688426-79d6-437f-ba30-ecb790169335","dd688426-79d6-437f-ba30-ecb790169335","{}",NULL,"CUSTOM","7th Heaven Cafe",NULL,NULL,NULL,"4/41","Eton St","Eton Street","Sutherland","Sutherland","NSW","New South Wales","AU","Australia","2232","4/41 Eton St, Sutherland NSW 2232, Australia",NULL,NULL,"https://www.facebook.com/7thHeavencafesutherland/",NULL,NULL,NULL,"4512","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408","2021-07-08 09:33:51.821408",NULL,"2021-07-08 09:33:51.821408",NULL,NULL,NULL,"7 HEAVEN CAFE"
